Ensembl ID,Cell Count,Gene Name
ENSG00000178585,290,CTNNBIP1
ENSG00000170315,289,UBB
ENSG00000121417,289,ZNF211
ENSG00000198040,289,ZNF84
ENSG00000186951,289,PPARA
ENSG00000131196,289,NFATC1
ENSG00000009950,289,MLXIPL
ENSG00000198945,288,L3MBTL3
ENSG00000178150,287,ZNF114
ENSG00000099326,287,MZF1
ENSG00000118922,287,KLF12
ENSG00000117505,287,DR1
ENSG00000175334,287,BANF1
ENSG00000176170,287,SPHK1
ENSG00000130700,287,GATA5
ENSG00000221818,286,EBF2
ENSG00000196110,286,ZNF699
ENSG00000198939,286,ZFP2
ENSG00000198429,286,ZNF69
ENSG00000105672,286,ETV2
ENSG00000160973,286,FOXH1
ENSG00000221994,285,ZNF630
ENSG00000007372,285,PAX6
ENSG00000236609,285,ZNF853
ENSG00000124831,285,LRRFIP1
ENSG00000185630,285,PBX1
ENSG00000162300,285,ZFPL1
ENSG00000062194,284,GPBP1
ENSG00000186566,284,GPATCH8
ENSG00000186448,284,ZNF197
ENSG00000143995,284,MEIS1
ENSG00000152409,284,JMY
ENSG00000163558,284,PRKCI
ENSG00000214717,284,ZBED1
ENSG00000149922,283,TBX6
ENSG00000174720,283,LARP7
ENSG00000198026,283,ZNF335
ENSG00000126804,283,ZBTB1
ENSG00000171574,282,ZNF584
ENSG00000204576,282,PRR3
ENSG00000198286,282,CARD11
ENSG00000167800,282,TBX10
ENSG00000169635,282,HIC2
ENSG00000120149,281,MSX2
ENSG00000006047,281,YBX2
ENSG00000177873,281,ZNF619
ENSG00000168269,281,FOXI1
ENSG00000184937,281,WT1
ENSG00000120068,281,HOXB8
ENSG00000104899,280,AMH
ENSG00000169981,280,ZNF35
ENSG00000152475,280,ZNF837
ENSG00000101096,280,NFATC2
ENSG00000053254,279,FOXN3
ENSG00000043355,279,ZIC2
ENSG00000261787,279,TCF24
ENSG00000168813,279,ZNF507
ENSG00000167157,279,PRRX2
ENSG00000083817,278,ZNF416
ENSG00000112365,278,ZBTB24
ENSG00000004975,278,DVL2
ENSG00000126003,278,PLAGL2
ENSG00000117475,278,BLZF1
ENSG00000082512,277,TRAF5
ENSG00000257923,277,CUX1
ENSG00000198816,277,ZNF358
ENSG00000143162,277,CREG1
ENSG00000005302,277,MSL3
ENSG00000142684,276,ZNF593
ENSG00000185610,276,DBX2
ENSG00000198440,276,ZNF583
ENSG00000159140,276,SON
ENSG00000168826,276,ZBTB49
ENSG00000188779,275,SKOR1
ENSG00000164379,275,FOXQ1
ENSG00000153130,275,SCOC
ENSG00000137504,275,CREBZF
ENSG00000125878,275,TCF15
ENSG00000188909,275,BSX
ENSG00000140479,275,PCSK6
ENSG00000104205,275,SGK3
ENSG00000169946,275,ZFPM2
ENSG00000077097,275,TOP2B
ENSG00000127603,274,MACF1
ENSG00000179361,274,ARID3B
ENSG00000174446,274,SNAPC5
ENSG00000125347,274,IRF1
ENSG00000185420,274,SMYD3
ENSG00000119715,273,ESRRB
ENSG00000177468,273,OLIG3
ENSG00000174197,273,MGA
ENSG00000157404,273,KIT
ENSG00000135363,273,LMO2
ENSG00000170689,273,HOXB9
ENSG00000100219,273,XBP1
ENSG00000141644,272,MBD1
ENSG00000139613,272,SMARCC2
ENSG00000165061,272,ZMAT4
ENSG00000260027,272,HOXB7
ENSG00000117713,271,ARID1A
ENSG00000115808,271,STRN
ENSG00000116833,271,NR5A2
ENSG00000189420,271,ZFP92
ENSG00000198028,271,ZNF560
ENSG00000165462,270,PHOX2A
ENSG00000076248,270,UNG
ENSG00000197124,270,ZNF682
ENSG00000139793,270,MBNL2
ENSG00000163161,269,ERCC3
ENSG00000135625,269,EGR4
ENSG00000185697,269,MYBL1
ENSG00000185024,269,BRF1
ENSG00000108510,268,MED13
ENSG00000036257,268,CUL3
ENSG00000096968,268,JAK2
ENSG00000147789,268,ZNF7
ENSG00000176678,267,FOXL1
ENSG00000101457,267,DNTTIP1
ENSG00000135374,267,ELF5
ENSG00000154957,267,ZNF18
ENSG00000141298,266,SSH2
ENSG00000131061,266,ZNF341
ENSG00000166268,266,MYRFL
ENSG00000078043,266,PIAS2
ENSG00000134438,266,RAX
ENSG00000079999,266,KEAP1
ENSG00000096654,266,ZNF184
ENSG00000171223,266,JUNB
ENSG00000141040,265,ZNF287
ENSG00000003402,265,CFLAR
ENSG00000133794,265,ARNTL
ENSG00000124226,265,RNF114
ENSG00000196268,264,ZNF493
ENSG00000171169,264,NAIF1
ENSG00000198646,264,NCOA6
ENSG00000185187,264,SIGIRR
ENSG00000121864,264,ZNF639
ENSG00000272333,264,KMT2B
ENSG00000175197,264,DDIT3
ENSG00000274349,264,ZNF658
ENSG00000183647,264,ZNF530
ENSG00000164104,263,HMGB2
ENSG00000012223,263,LTF
ENSG00000135111,263,TBX3
ENSG00000052850,262,ALX4
ENSG00000105329,262,TGFB1
ENSG00000148337,262,CIZ1
ENSG00000161265,262,U2AF1L4
ENSG00000165684,262,SNAPC4
ENSG00000148840,262,PPRC1
ENSG00000172292,262,CERS6
ENSG00000111704,261,NANOG
ENSG00000171649,261,ZIK1
ENSG00000174306,261,ZHX3
ENSG00000157216,261,SSBP3
ENSG00000143799,261,PARP1
ENSG00000196323,260,ZBTB44
ENSG00000175029,260,CTBP2
ENSG00000135486,260,HNRNPA1
ENSG00000150347,260,ARID5B
ENSG00000122008,260,POLK
ENSG00000197329,260,PELI1
ENSG00000149600,259,COMMD7
ENSG00000133895,259,MEN1
ENSG00000173041,259,ZNF680
ENSG00000176407,259,KCMF1
ENSG00000125520,259,SLC2A4RG
ENSG00000184302,258,SIX6
ENSG00000143614,258,GATAD2B
ENSG00000149050,257,ZNF214
ENSG00000178691,257,SUZ12
ENSG00000198105,257,ZNF248
ENSG00000106410,257,NOBOX
ENSG00000160199,257,PKNOX1
ENSG00000181852,257,RNF41
ENSG00000176887,257,SOX11
ENSG00000197063,257,MAFG
ENSG00000204519,257,ZNF551
ENSG00000102882,257,MAPK3
ENSG00000196417,257,ZNF765
ENSG00000169951,256,ZNF764
ENSG00000204227,256,RING1
ENSG00000092203,256,TOX4
ENSG00000080839,256,RBL1
ENSG00000105392,255,CRX
ENSG00000020633,255,RUNX3
ENSG00000106624,255,AEBP1
ENSG00000176302,255,FOXR1
ENSG00000182872,255,RBM10
ENSG00000163818,255,LZTFL1
ENSG00000100906,255,NFKBIA
ENSG00000180884,254,ZNF792
ENSG00000077150,254,NFKB2
ENSG00000132256,254,TRIM5
ENSG00000170100,254,ZNF778
ENSG00000165821,254,SALL2
ENSG00000105750,254,ZNF85
ENSG00000127124,254,HIVEP3
ENSG00000067646,253,ZFY
ENSG00000269067,253,ZNF728
ENSG00000151657,253,KIN
ENSG00000121903,253,ZSCAN20
ENSG00000127528,253,KLF2
ENSG00000178919,253,FOXE1
ENSG00000166823,252,MESP1
ENSG00000198633,252,ZNF534
ENSG00000163516,252,ANKZF1
ENSG00000152192,252,POU4F1
ENSG00000140044,252,JDP2
ENSG00000182983,251,ZNF662
ENSG00000174371,251,EXO1
ENSG00000169989,251,TIGD4
ENSG00000163013,251,FBXO41
ENSG00000032219,251,ARID4A
ENSG00000028277,251,POU2F2
ENSG00000124827,251,GCM2
ENSG00000105136,251,ZNF419
ENSG00000213096,250,ZNF254
ENSG00000103197,250,TSC2
ENSG00000160741,250,CRTC2
ENSG00000128610,250,FEZF1
ENSG00000139083,250,ETV6
ENSG00000188321,249,ZNF559
ENSG00000171448,249,ZBTB26
ENSG00000196460,249,RFX8
ENSG00000132846,249,ZBED3
ENSG00000107249,249,GLIS3
ENSG00000198093,249,ZNF649
ENSG00000203883,248,SOX18
ENSG00000059145,248,UNKL
ENSG00000171469,248,ZNF561
ENSG00000137074,248,APTX
ENSG00000171206,248,TRIM8
ENSG00000140262,247,TCF12
ENSG00000112200,247,ZNF451
ENSG00000124203,247,ZNF831
ENSG00000182111,247,ZNF716
ENSG00000184939,247,ZFP90
ENSG00000059122,246,FLYWCH1
ENSG00000104447,246,TRPS1
ENSG00000170396,246,ZNF804A
ENSG00000196724,245,ZNF418
ENSG00000101883,245,RHOXF1
ENSG00000104825,245,NFKBIB
ENSG00000162601,245,MYSM1
ENSG00000256771,245,ZNF253
ENSG00000114315,245,HES1
ENSG00000142409,244,ZNF787
ENSG00000185669,244,SNAI3
ENSG00000197323,244,TRIM33
ENSG00000051180,244,RAD51
ENSG00000102034,244,ELF4
ENSG00000108465,243,CDK5RAP3
ENSG00000126368,243,NR1D1
ENSG00000196700,243,ZNF512B
ENSG00000155508,243,CNOT8
ENSG00000175325,243,PROP1
ENSG00000138663,243,COPS4
ENSG00000167967,243,E4F1
ENSG00000170734,242,POLH
ENSG00000112837,242,TBX18
ENSG00000173451,242,THAP2
ENSG00000173163,241,COMMD1
ENSG00000164532,241,TBX20
ENSG00000134317,241,GRHL1
ENSG00000143190,241,POU2F1
ENSG00000185122,241,HSF1
ENSG00000131323,241,TRAF3
ENSG00000066827,241,ZFAT
ENSG00000168874,241,ATOH8
ENSG00000168152,241,THAP9
ENSG00000168267,241,PTF1A
ENSG00000180938,241,ZNF572
ENSG00000183087,240,GAS6
ENSG00000130751,240,NPAS1
ENSG00000140521,240,POLG
ENSG00000051341,240,POLQ
ENSG00000112977,240,DAP
ENSG00000146676,240,PURB
ENSG00000115207,240,GTF3C2
ENSG00000103241,240,FOXF1
ENSG00000170122,240,FOXD4
ENSG00000125846,240,ZNF133
ENSG00000215397,240,SCRT2
ENSG00000122180,240,MYOG
ENSG00000129514,240,FOXA1
ENSG00000095574,239,IKZF5
ENSG00000125816,239,NKX2-4
ENSG00000251247,239,ZNF345
ENSG00000277258,239,PCGF2
ENSG00000178163,239,ZNF518B
ENSG00000169131,239,ZNF354A
ENSG00000100625,239,SIX4
ENSG00000137166,239,FOXP4
ENSG00000141867,239,BRD4
ENSG00000172530,238,BANP
ENSG00000166886,238,NAB2
ENSG00000196378,238,ZNF34
ENSG00000178764,238,ZHX2
ENSG00000186300,238,ZNF555
ENSG00000141258,237,SGSM2
ENSG00000182463,237,TSHZ2
ENSG00000164736,237,SOX17
ENSG00000140632,237,GLYR1
ENSG00000172977,237,KAT5
ENSG00000140307,237,GTF2A2
ENSG00000144355,237,DLX1
ENSG00000179981,236,TSHZ1
ENSG00000105879,236,CBLL1
ENSG00000108799,236,EZH1
ENSG00000130675,236,MNX1
ENSG00000171295,236,ZNF440
ENSG00000142867,236,BCL10
ENSG00000182742,236,HOXB4
ENSG00000157933,235,SKI
ENSG00000187772,235,LIN28B
ENSG00000140332,235,TLE3
ENSG00000172468,235,HSFY1
ENSG00000122859,235,NEUROG3
ENSG00000180530,235,NRIP1
ENSG00000156127,235,BATF
ENSG00000171940,235,ZNF217
ENSG00000261678,234,SCRT1
ENSG00000153896,234,ZNF599
ENSG00000180667,234,YOD1
ENSG00000116016,234,EPAS1
ENSG00000242802,234,AP5Z1
ENSG00000167182,234,SP2
ENSG00000065029,234,ZNF76
ENSG00000215421,234,ZNF407
ENSG00000136603,234,SKIL
ENSG00000163867,233,ZMYM6
ENSG00000060138,233,YBX3
ENSG00000167393,233,PPP2R3B
ENSG00000101695,233,RNF125
ENSG00000166987,233,MBD6
ENSG00000064393,233,HIPK2
ENSG00000119547,232,ONECUT2
ENSG00000115020,232,PIKFYVE
ENSG00000214513,232,NOTO
ENSG00000121406,232,ZNF549
ENSG00000170802,232,FOXN2
ENSG00000112511,232,PHF1
ENSG00000069812,232,HES2
ENSG00000088038,232,CNOT3
ENSG00000114026,231,OGG1
ENSG00000196576,231,PLXNB2
ENSG00000175352,231,NRIP3
